rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,dextran_pct,dmso_M,human_serum_pct,methylcellulose_pct,peg_3350_pct,betaine_M,fbs_pct,hsa_pct,sucrose_M,glycerol_M,raffinose_M
2,84.94583348190517,77.69132469938168,14.509017565046966,0.078116479073039,6,0.3099364587810397,1.5644177311778846,0.0001204550009973,0.0109980963753158,0.0002113724236238,0.0005368839576978,,,,,,,
3,82.95883994509273,74.99605544333666,15.925569003512164,0.0,6,0.3115590377759527,1.5654809784750656,0.0001288404866713,,0.00020276293479,0.2016268882001096,9.85912153177024e-05,,,,,,
4,82.91056625918335,74.78755236835651,16.246027781653677,0.0,5,0.3315971869433672,1.5890922974013113,0.0001323971122613,,5.5649888857428214e-05,,0.0001262084588633,,,,,,
5,81.8501074509503,73.78027867956101,16.13965754277859,0.0,6,0.3050015769192636,1.437651960857321,,,,,,0.0256722151810624,0.0077211883294268,0.1594067066617572,0.0246194518047123,,
6,81.58369083191246,73.23901063514054,16.68936039354384,0.0,2,0.2957893512478514,1.737457018381991,,,,,,,,,,,
7,79.81997366232565,72.73531495536463,14.169317413922036,0.0849956078661009,6,0.1539560345443814,1.2348193405165937,0.0010208872793396,0.0119666157241406,0.0026351068348022,,0.0024017931354143,,,,,,
9,80.06570505671874,71.28902035618546,17.553369401066565,0.0,2,0.3213746108678746,1.338112679579494,,,,,,,,,,,
11,77.8679359360997,68.96886575697827,17.798140358242858,0.0,2,0.2728153107171569,1.7303661897361122,,,,,,,,,,,
12,76.67766269152156,68.62951544635153,16.09629449034006,0.0,3,0.1546117718694598,1.1337178160234382,,,,,,,5.8289886115132745,,,,
13,77.03264428452331,68.42700679561953,17.21127497780756,0.0,6,0.3161274126669665,1.4761510994863911,,,,,0.0909642756840289,,,0.2277249242131498,,0.1700092885906521,0.112685607971206
17,43.85112458820412,34.21425481221205,19.273739551984143,0.4971909090909091,1,,,,0.07,,,,,,,,,
18,43.52834838054668,33.89174370087922,19.27320935933493,0.4971909090909091,2,,,,0.07,,,,,2.0,,,,
19,42.31191773183493,32.54129393813334,19.541247587403177,0.4971909090909091,2,,,,0.07,,,,,10.0,,,,
20,28.168778494763664,17.275170437834184,21.787216113858957,0.4971909090909091,2,,,,0.07,,,,,,,0.1,,
