rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,hsa_pct,hyaluronic_acid_pct,raffinose_M,fbs_pct,betaine_M,dmso_M,sucrose_M,methylcellulose_pct,peg_3350_pct,glycerol_M
2,83.51316634974981,75.8864391406228,15.25345441825402,0.0,5,0.3105441975956661,1.5708487796007675,0.0872424009719964,2.211214624816136e-06,0.1428233233260765,,,,,,,
3,83.35943937717946,75.58207059783878,15.55473755868136,0.0,2,0.3140551077157329,1.4311229406288088,,,,,,,,,,
4,81.07566364651568,72.60817754797671,16.93497219707795,0.0,3,0.3047,1.55,,,,6.521234526971213,,,,,,
5,81.10523382190942,72.59581566467057,17.018836314477724,0.2311744907104951,6,0.3056214283962723,1.652866293651486,0.1594067066617572,,,,0.0485655539375106,0.0325472852657807,0.0246194518047123,,,
7,80.34272612814053,71.67036215834538,17.3447279395903,0.0,5,0.3047,1.55,0.596081283179771,,,5.103575758113912,,,,0.0121589395659387,,
8,78.93321265230497,69.77248629605229,18.321452712505348,0.0,3,0.3047,1.82664596740979,,,,1.41844721954633,,,,,,
9,77.45706030164024,69.57138014941285,15.771360304454776,0.0,3,0.1431,1.28,,,,5.308691120662459,,,,,,
11,77.93224096620122,68.91338981682077,18.0377022987609,0.0,3,0.3047,1.28,,,,1.9951765451445809,,,,,,
12,76.47929397151225,68.07458494690579,16.80941804921293,5.0,1,,,,,,,,0.7039549468833995,,,,
13,75.98399499589652,67.56299285032344,16.842004291146154,5.0,2,,,,,,2.0,,0.7039549468833995,,,,
14,75.57743305311125,67.26899400446418,16.616878097294155,0.0,2,0.1574731189995772,1.48,,,,,,,,,,
15,75.4596291041763,66.66022003525451,17.59881813784357,0.0,3,0.2558314622242693,1.55,,,,,,,,,0.1774406455909369,
19,70.70663361033922,61.730188769227325,17.952889682223805,5.0,2,,,,,,10.0,,0.7039549468833995,,,,
