rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,dmso_M,ectoin_M,ethylene_glycol_M,fbs_pct,methylcellulose_pct,hsa_pct,human_serum_pct,propylene_glycol_M
1,101.660801568404,92.63575659142438,18.05008995395922,0.29959464786969653,4,0.0421802268855326,0.31853939549580745,2.1238890016154897,13.609377443328588,,,,
2,101.11467611967471,92.30339002817348,17.62257218300246,0.1927658215310079,5,0.02713969073135911,0.30943998634921704,2.0606043454055554,11.616577232365602,0.2388106453055157,,,
3,99.93699712990231,92.12436599557353,15.625262268657554,0.07812999999999999,4,0.011,0.2897,2.0,6.3,,,,
4,99.63950353410517,91.8608886408075,15.557229786595355,0.14915727272727272,4,0.021,0.2911,1.96,5.9,,,,
5,100.27056978227355,91.15227920652738,18.236581151492345,0.4828841843191722,4,0.06798574206464732,0.29196820548775415,1.9360105050887038,14.628509883759495,,,,
6,99.87416376248153,90.82300401279093,18.102319499381203,0.0,3,,0.31674339169576693,2.287318810384817,11.713121019298116,,,,
7,99.85908959718536,90.78079782933352,18.156583535703664,0.0,3,,0.3326819156588512,1.9550265553319786,14.550313330084707,,,,
8,99.31086180040133,90.19524153374951,18.231240533303634,0.0,3,,0.2716479684046662,2.0576244380166178,15.458457484429058,,,,
9,99.25067680655016,89.96171626740812,18.577921078284064,0.6451394387868526,4,0.09082981987271702,0.31506207709319695,2.1850840212017735,8.926583794626163,,,,
10,97.2347008198992,89.25392818781648,15.961545264165425,0.05611154545454545,4,0.0079,0.3171,2.11,2.8,,,,
11,96.82113263833696,89.10341716406572,15.435430948542493,0.07812999999999999,4,0.011,0.2897,1.81,5.7,,,,
12,96.2773709598135,88.54771156101577,15.459318797595447,0.14915727272727272,4,0.021,0.2911,1.79,5.4,,,,
13,91.74751519570309,83.98267474165476,15.529680908096648,0.0,3,,0.3047,1.83,1.4,,,,
14,90.46784254979954,82.73370925333458,15.468266592929915,0.07812999999999999,4,0.011,0.2897,1.63,5.1,,,,
15,93.12887383882435,82.28633520126706,21.68507727511458,0.0,6,,0.3328133081317376,2.101563853041316,15.543953923523041,,0.29906716061392125,0.7610970080358399,0.20866403009907009
16,89.88453050434,82.1274442626428,15.514172483394413,0.05611154545454545,4,0.0079,0.3171,1.73,2.3,,,,
17,87.63422754490983,79.77801143584753,15.712432218124608,0.0,3,,0.3047,1.55,6.5,,,,
18,84.81983784844238,76.83528169485838,15.969112307168,0.0,4,,0.3047,1.55,5.1,,0.6,,
19,83.9752711339733,76.00002513043205,15.950492007082486,0.0,2,,0.2436,1.71,,,,,
20,80.55201783234722,72.7393161704577,15.625403323779036,0.07812999999999999,3,0.011,0.3099,1.56,,,,,
