rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,ectoin_M,ethylene_glycol_M,fbs_pct,glycerol_M,hsa_pct,propylene_glycol_M,sucrose_M,proline_M,betaine_M,human_serum_pct,creatine_M,dmso_M,dextran_pct,pvp_pct,hes_pct,peg_3350_pct,raffinose_M,trehalose_M
1,72.15488716211993,15.59554810233825,0.0,2,0.3047248791901368,1.5464447896637654,,,,,,,,,,,,,,,,
2,66.81030506033807,15.286221560500747,0.0,2,0.14310187022779486,1.2818618574001872,,,,,,,,,,,,,,,,
3,63.67884684527071,15.530145776635791,0.0,2,0.1611683922786305,1.0495636126492547,,,,,,,,,,,,,,,,
4,61.637783423188566,15.661118994014643,0.0,3,,,34.661844640510274,2.350296025139387,6.022810043529202,,,,,,,,,,,,,
5,51.48791165919208,16.59896412311388,0.0,3,,0.3625101908543915,,,,2.440388225313204,0.6072126026993657,,,,,,,,,,,
6,51.39245541692792,15.129232675254025,0.0,3,,0.975688891057823,,,8.524649388815355,,,0.06755325354947417,,,,,,,,,,
7,48.49996446318183,27.49699667852765,0.0,2,,,,,,,,,0.08854662326102092,75.55296552296711,,,,,,,,
8,48.40780690009962,27.30600906597144,0.24345753376402818,5,0.4145109458327096,2.182061030919647,,,,,,,0.13318992281528919,,2.236002273870654,0.03427662704984398,,,,,,
9,48.24141415691279,27.44617602305805,0.0,2,,1.0187002112928445,,,,2.3946808371041737,,,,,,,,,,,,
10,48.120202539103126,16.665389836828165,0.0,3,,,,,,1.6699315241731902,0.6118350545991809,,,,,,2.367722614039034,,,,,
11,47.787647902888516,26.32142878824791,0.0,4,0.04487391884419173,,34.44670672778847,,,,,,,,,,0.1749630162549587,6.406707682356631,,,,
12,47.20325450541256,27.63566870390795,0.0,5,0.02623148140320558,1.5702063234570018,40.01358863002916,,,1.0112356090716257,,,,,,,,6.188469022925339,,,,
13,46.49095108298961,27.42051725002062,0.36875529041479055,6,,,,,,0.9381621893389647,,0.11147335246676054,,,,0.05191742217538329,,2.1058355362859924,1.4753433905956326,1.3963688162782795,,
14,46.45194676953066,27.64380780829324,0.29074691751016907,5,,0.4734111191884635,27.532719876622593,,,,,,,,,0.04093454617447664,,8.044403217904263,,,0.1964509333726201,
15,46.123485044589046,27.667405087627806,0.0,2,,2.226624728511492,,,,,,,,33.4544668109086,,,,,,,,
16,45.938808646787095,27.668908220142296,0.0,4,,,78.89388908857472,,,,,,,,,,1.1383459187591682,8.301664596598446,,,0.9533858352713874,
17,45.86774857256731,27.65830465106142,0.0,4,,0.8338718866927666,,2.3433836009017597,2.6144503148529417,,,,,26.213941563244536,,,,,,,,
18,45.84864541897352,27.654800199390124,0.12575607710977962,6,,,,,,2.2375318915661553,0.7749163873801383,0.00948807510420202,,,,0.01770532251641592,,3.318636104333609,,,0.33960641424640037,
19,45.82799986430096,27.669958247869445,0.0,8,,0.04262636516044638,,,,,0.14741877335525955,0.03332779587333673,0.15314739564927182,2.015046803590015,,,,7.731629973476213,,,0.46470068189745695,0.0797791114432349
20,45.766362771503864,27.469590733670028,0.0,4,,,,,7.0691957407922725,,,,,10.820720356897263,,,0.8222885277766956,,,0.9283920021116754,,
