rank,predicted_viability,uncertainty,dmso_percent,n_ingredients,ethylene_glycol_M,fbs_pct,hes_pct,human_serum_pct,dmso_M,proline_M,trehalose_M,glycerol_M,betaine_M,hsa_pct,sucrose_M,raffinose_M,ectoin_M,dextran_pct,pvp_pct,peg_3350_pct,propylene_glycol_M
1,72.39786439344682,23.595591064278935,0.0,3,1.8336037345266454,52.16656748248297,0.6314920190686346,,,,,,,,,,,,,,
2,72.2814163119657,23.928778656397533,0.0,2,,,0.47196701697378995,86.52749576778446,,,,,,,,,,,,,
3,71.53782108453225,22.17165479672872,1.3500124056059766,3,1.4089458569413722,66.21277547756284,,,0.19006958225605713,,,,,,,,,,,,
4,70.8641536101629,22.777241958974304,0.0,2,1.0309162181867026,,,,,0.0361384737865883,,,,,,,,,,,
5,69.47240592533045,22.376799650140118,0.0,2,,19.484298944880297,,,,,0.4878535023663122,,,,,,,,,,
6,69.18992495142724,23.131364393740693,0.0,2,,36.763067803954364,,,,,,1.8607624141879884,,,,,,,,,
7,68.43401643116037,21.27389508177461,0.0,3,,,,,,,,1.8266262755981153,0.030071171300392607,4.652056122837181,,,,,,,
8,68.14881419445557,24.029430958185326,0.0,2,,,,,,,,,,1.2665846591826169,0.3464513073430604,,,,,,
9,68.05963026583848,24.216425576702196,0.0,2,0.6291610876136768,,,,,,,,,,,0.42954912352067554,,,,,
10,68.01535663381276,23.524100730078807,0.0,2,,,,,,,,,,,,0.18150796162149552,0.006990856485682373,,,,
11,66.84193451203575,21.016308619101395,0.0,2,,,,,,,,1.2087676864441632,,8.327230977971464,,,,,,,
12,66.58976352814975,24.4993529034262,0.0,3,,,,13.389338541070591,,,0.41581641259522617,,,6.568075215238894,,,,,,,
13,66.47701582830705,24.975230809690316,0.0,3,,,,,,0.05823892483666854,,0.7386698115668983,,,,,,2.542612314448646,,,
14,66.35876204811287,24.948403065501918,0.0,2,,,4.320247996337416,78.27917112125333,,,,,,,,,,,,,
15,65.90854819889115,24.875328371983876,0.0,2,,,,,,,,,,,,0.3533522280260528,,,5.836561118508721,,
16,65.3679762240318,23.337189870930498,0.0,3,,,,,,,,,,0.6470419683985118,,,0.07214870113763971,,,4.9835793429443775,
17,65.31751981583525,24.72487077315592,0.0,3,,,,,,0.15287806375618734,,2.331599234499823,,,,,,,,,0.18211324386299937
18,65.250841719897,23.69925210948727,0.0,2,,,,,,,,,,,,,0.131440350994663,,,0.3574839446586464,
19,64.99744680669465,22.24295139392325,0.0,2,,,1.9113208844889684,,,,,,,,,,,,9.976228222513853,,
20,64.90938923334025,25.022654548722524,0.14092026172558447,3,,58.62343971719093,,,0.019840303071565715,,,,,,,0.44989585598809345,,,,,
