feature,importance
ethylene_glycol,0.577749097675259
dmso,0.40462800749952044
fbs,0.31620800650780856
hsa,0.2893622879015504
ectoin,0.2673108242470822
trehalose,0.17192597597483628
glycerol,0.14230105350997013
peg_3350,0.13239623470164952
human_serum,0.12202970457605256
proline,0.11279449420388821
dextran,0.09073603025202215
hes,0.08812963865349566
sucrose,0.07077543358085048
propylene_glycol,0.03584545363706437
pvp,0.029718439379316397
hyaluronic_acid,0.023353172396629263
creatine,0.01597324493603547
methylcellulose,0.007243378039670345
glucose,0.0035675523723770475
betaine,0.003187639395319297
raffinose,0.0025785535065483423
