stage,label,method,weight_multiplier,alpha_literature,alpha_wetlab,n_rows,rmse,mae,r2,spearman_rho,kendall_tau,mean_uncertainty,coverage_1sigma,coverage_2sigma,mean_signed_residual,mean_abs_residual,rmse_component,spearman_component,calibration_component,bias_component,balanced_score
1,standard,standard,,,,11,34.1421,32.0569,-2.543,0.0727,-0.0182,24.7614,0.3636,0.9091,-28.9503,32.0569,0.0,1.0,0.4374583333333333,0.0,0.3874916666666667
1,weighted_simple_x5,weighted_simple,5.0,,,11,28.5899,25.5344,-1.4844,-0.3,-0.2558,23.8127,0.5455,1.0,-21.2752,25.5344,0.43478805628861616,0.3692672194956846,0.7065104166666665,0.0,0.3825186660686235
1,weighted_simple_x10,weighted_simple,10.0,,,11,25.5469,22.3883,-0.9836,-0.3,-0.2558,24.7493,0.6364,1.0,-17.3466,22.3883,0.6730827962630873,0.3692672194956846,0.8485416666666665,0.13267000000000007,0.5089473380609649
1,weighted_simple_x20,weighted_simple,20.0,,,11,22.7589,19.506,-0.5743,-0.3,-0.2558,26.3968,0.7273,1.0,-13.3054,19.506,0.891408703278804,0.3692672194956846,0.8427604166666667,0.33472999999999997,0.6137008601656798
1,prior_mean_correction_alpha_wetlab_0.02,prior_mean_correction,,1.0,0.02,11,21.6681,16.1639,-0.427,-0.5182,-0.3818,23.0017,0.6364,1.0,-7.2306,16.1639,0.976828322852959,0.0,0.8485416666666665,0.63847,0.590450830189221
1,prior_mean_correction_alpha_wetlab_0.05,prior_mean_correction,,1.0,0.05,11,21.5929,16.1182,-0.4171,-0.5182,-0.3818,22.8919,0.6364,1.0,-7.1601,16.1182,0.98271717084707,0.0,0.8485416666666665,0.641995,0.5929224845874543
1,prior_mean_correction_alpha_wetlab_0.10,prior_mean_correction,,1.0,0.1,11,21.3722,15.9663,-0.3883,-0.4545,-0.3091,22.6926,0.6364,1.0,-6.8845,15.9663,1.0,0.10780165848705361,0.8485416666666665,0.655775,0.6332038308794494
2,standard,standard,,,,6,30.1114,26.0032,-2.9188,0.3714,0.3333,26.381,0.5,1.0,-26.0032,26.0032,0.0,1.0,0.6354166666666665,0.0,0.42708333333333326
2,weighted_simple_x5,weighted_simple,5.0,,,6,23.3638,18.2004,-1.3592,,,26.6312,0.8333,1.0,-17.734,18.2004,0.43907962206200046,0.0,0.6771354166666665,0.11329999999999996,0.28981096995193345
2,weighted_simple_x10,weighted_simple,10.0,,,6,19.9535,16.4635,-0.7208,,,28.3348,0.8333,1.0,-12.9139,16.4635,0.6609945599833417,0.0,0.6771354166666665,0.354305,0.4045864513283358
2,weighted_simple_x20,weighted_simple,20.0,,,6,17.5053,15.0468,-0.3244,,,30.3807,0.8333,1.0,-8.6638,15.0468,0.8203037559540853,0.0,0.6771354166666665,0.56681,0.4948802101195589
2,prior_mean_correction_alpha_wetlab_0.02,prior_mean_correction,,1.0,0.02,6,14.7438,12.1255,0.0605,0.0857,0.0667,24.6014,1.0,1.0,1.076,12.1255,1.0,0.7916727431821498,0.4166666666666667,0.9462,0.8100751562879782
2,prior_mean_correction_alpha_wetlab_0.05,prior_mean_correction,,1.0,0.05,6,14.7498,12.1192,0.0597,0.0857,0.0667,24.37,1.0,1.0,1.0994,12.1192,0.9996095681824098,0.7916727431821498,0.4166666666666667,0.94503,0.8097240267427012
2,prior_mean_correction_alpha_wetlab_0.10,prior_mean_correction,,1.0,0.1,6,14.7579,12.1126,0.0587,0.0857,0.0667,23.977,1.0,1.0,1.1271,12.1126,0.9990824852286629,0.7916727431821498,0.4166666666666667,0.943645,0.8092889018565772
3,standard,standard,,,,8,18.598,15.0846,-1.8448,0.0238,-0.0714,24.604,0.75,1.0,-10.9046,15.0846,0.24769816055203675,0.6935374610486384,0.8072916666666667,0.45477,0.5347830198135359
3,weighted_simple_x5,weighted_simple,5.0,,,8,11.4458,9.8386,-0.0775,,,26.9553,1.0,1.0,-3.0693,9.8386,0.9713560110893011,0.0,0.4166666666666667,0.846535,0.5440471366601236
3,weighted_simple_x10,weighted_simple,10.0,,,8,11.1627,9.6925,-0.0249,,,28.7308,1.0,1.0,1.7384,9.6925,1.0,0.0,0.4166666666666667,0.91308,0.5659493333333333
3,weighted_simple_x20,weighted_simple,20.0,,,8,12.4275,9.7743,-0.2703,,,30.6854,1.0,1.0,5.7323,9.7743,0.8720278446688385,0.0,0.4166666666666667,0.7133849999999999,0.48761868673398484
3,prior_mean_correction_alpha_wetlab_0.02,prior_mean_correction,,1.0,0.02,8,21.0461,15.999,-2.643,0.4762,0.3571,20.8853,0.75,0.875,6.4592,15.999,0.0,1.0,0.7656250000000002,0.67704,0.5885330000000001
3,prior_mean_correction_alpha_wetlab_0.05,prior_mean_correction,,1.0,0.05,8,20.8248,15.7367,-2.5668,0.4762,0.3571,20.7214,0.75,0.875,6.7286,15.7367,0.022391079992714946,1.0,0.7656250000000002,0.66357,0.5925563239978145
3,prior_mean_correction_alpha_wetlab_0.10,prior_mean_correction,,1.0,0.1,8,20.4613,15.2716,-2.4434,0.4762,0.3571,20.4757,0.75,0.875,7.2368,15.2716,0.059169921282149596,1.0,0.7656250000000002,0.6381600000000001,0.598507976384645
4,standard,standard,,,,6,7.5036,7.1521,-0.1554,0.1429,0.0667,21.6327,1.0,1.0,2.0467,7.1521,1.0,1.0,0.4166666666666667,0.897665,0.8628663333333334
4,weighted_simple_x5,weighted_simple,5.0,,,6,21.2428,20.0629,-8.2596,,,26.6549,0.8333,1.0,20.0629,20.0629,0.3477061563222539,0.0,0.6771354166666665,0.0,0.23973893023000947
4,weighted_simple_x10,weighted_simple,10.0,,,6,25.3328,24.3519,-12.1685,,,28.1982,0.6667,1.0,24.3519,24.3519,0.15352586775800114,0.0,0.8958854166666664,0.0,0.22523484366073362
4,weighted_simple_x20,weighted_simple,20.0,,,6,28.5665,27.7004,-15.745,,,29.7657,0.5,1.0,27.7004,27.7004,0.0,0.0,0.6354166666666665,0.0,0.1270833333333333
4,prior_mean_correction_alpha_wetlab_0.02,prior_mean_correction,,1.0,0.02,6,9.2409,7.4718,-0.7523,-0.6,-0.4667,16.1806,0.8333,1.0,-1.9785,7.4718,0.9175184803612038,0.34998687549216906,0.6771354166666665,0.901075,0.6958936900893451
4,prior_mean_correction_alpha_wetlab_0.05,prior_mean_correction,,1.0,0.05,6,8.7069,7.3914,-0.5556,-0.6,-0.4667,16.0798,1.0,1.0,-1.1798,7.3914,0.9428711146138471,0.34998687549216906,0.4166666666666667,0.94101,0.6593927303651381
4,prior_mean_correction_alpha_wetlab_0.10,prior_mean_correction,,1.0,0.1,6,8.5285,7.8356,-0.4925,-0.7714,-0.6,16.2283,1.0,1.0,0.5748,7.8356,0.9513409834353295,0.20001749934377464,0.4166666666666667,0.97126,0.6229928781670645
